"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
3803,Yokohama City,"11 November ,2011",Yokohama City,,"Offshore
Yokohama City","9 November ,2011",____,,"Threadsail filefish
(Stephanolepis cirrhifer)",Not detectable,,Not detectable,,"Yokohama City Institute of Public
Health",,,
3804,"Federation of
North Pacific
District Purse
Seine Fisheries
Co-operative
Associations of
Japan","11 November ,2011",Ibaraki (Landing port) Choshi Fishing Port in Chiba,,"Offshore Hitachi and Kashima
(N35°48’E141°03)","8 November ,2011",___,,"Chub mackerel
(Scomber  japonicus)",,11.1,Not detectable,,Japan Chemical Analysis Center,,,
3805,"Federation of
North Pacific
District Purse
Seine Fisheries
Co-operative
Associations of
Japan","11 November ,2011",Ibaraki (Landing port) Choshi Fishing Port in Chiba,,"Offshore Hitachi and Kashima
(N35°49’E141°02)","9 November ,2011",___,,"Chub mackerel
(Scomber  japonicus)",,11.1,Not detectable,,Japan Chemical Analysis Center,,,
3806,"Federation of
North Pacific
District Purse
Seine Fisheries
Co-operative
Associations of
Japan","14 November ,2011",(Landing port) Hachinohe Fishing Port in Aomori,,"Pacific Ocean, Offshore Hokkaido and Aomori (N40°46’E141°51)","9 November ,2011",___,,"Chub mackerel
(Scomber  japonicus)",,7,Not detectable,,Japan Chemical Analysis Center,,,
3807,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"14 November ,2011",(Landing port) Hachinohe Fishing Port in Aomori,,"Pacific Ocean, Offshore Hokkaido and Aomori
(N40°46’E141°51)","9 November ,2011",____,,"Southern mackerel
(Scomber  australasicus)",,8.5,Not detectable,,Japan Chemical Analysis Center,,,
3808,"Federation of
North Pacific
District Purse
Seine Fisheries
Co-operative
Associations of
Japan","14 November ,2011",Ibaraki (Landing port) Choshi Fishing Port in Chiba,,"Offshore Hitachi and Kashima
(N35°51’E141°00)","10 November ,2011",___,,"Chub mackerel
(Scomber  japonicus)",,9,Not detectable,,Private inspection facility,,,
3809,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"14 November ,2011",Ibaraki (Landing port) Choshi Fishing Port in Chiba,,"Offshore Hitachi and Kashima
(N35°51’E141°00)","11 November ,2011",___,,"Chub mackerel
(Scomber  japonicus)",,10.9,Not detectable,,Private inspection facility,,,
3810,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"14 November ,2011",Ibaraki (Landing port) Choshi Fishing Port in Chiba,,"Offshore Hitachi and Kashima
(N39°06’E140°51)","11 November ,2011",__,,"Japanese amberjack
(Seriola quinqueraduata)",,35,Not detectable,,Private inspection facility,,,
3811,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Tokai Village","10 November ,2011",____,,"Fat greenling
(Hexagrammos otakii)",,81,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3812,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",_____,,"Greeneyes
(Chlorophthalmus borealis)",,15,Not detectable,,Japan Chemical Analysis Center,,,
3813,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","10 November ,2011",_____,,"Flathead flounder
(Hippoglossoides dubius)",,17,Not detectable,,Japan Chemical Analysis Center,,,
3814,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",___,,"Conger eel
(Conger myriaster)",,27,Not detectable,,Private inspection facility,,,
3815,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachi City","8 November ,2011",___,,"Conger eel
(Conger myriaster)",,34,Not detectable,,Japan Chemical Analysis Center,,,
3816,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Tokai Village","10 November ,2011",_____,,"Stone flounder
(Kareius bicoloratus)",,19,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3817,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",_____,,"Dory
(Zenopsis  nebulosa)",,22,Not detectable,,Japan Chemical Analysis Center,,,
3818,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",_____,,"Dory
(Zenopsis  nebulosa)",,21,Not detectable,,Japan Chemical Analysis Center,,,
3819,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","10 November ,2011",________,,"Japanese whelk
(Buccinum  isaotakii)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3820,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","10 November ,2011",______,,"Alaska pollock
(Theragra  chalcogramma)",,21,Not detectable,,Japan Chemical Analysis Center,,,
3821,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",_____,,"Japanese flying squid
(Todarodes  pacificus)",Not detectable,,Not detectable,,Private inspection facility,,,
3822,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachi City","8 November ,2011",_____,,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3823,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","10 November ,2011",_____,,"Snow crab
(Chionoecetes opilio)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3824,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",___,,"Crimson sea bream
(Evynnis japonica)",,18,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3825,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hokota City","11 November ,2011",_____,,"Slime flounder
(Microstomus achne)",,17,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3826,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Kashima City","9 November ,2011",_____,,"Slime flounder
(Microstomus achne)",,37,Not detectable,,Japan Chemical Analysis Center,,,
3827,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,17,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3828,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Kashima City","9 November ,2011",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,14,Not detectable,,Japan Chemical Analysis Center,,,
3829,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Tokai Village","10 November ,2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,31,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3830,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,24,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3831,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Kashima City","9 November ,2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,5,Not detectable,,Japan Chemical Analysis Center,,,
3832,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Kashima City","9 November ,2011",___,,"Common octopus
(Octopus vulgaris)",,2,Not detectable,,Japan Chemical Analysis Center,,,
3833,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",_____,,"Rikuzen flounder
(Dexistes rikuzenius)",,7,Not detectable,,Japan Chemical Analysis Center,,,
3834,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",____,,"Giant Pacific octopus
(Paroctopus  dofleini)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3835,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",_____,,"Shotted halibut
(Eopsetta  grigorjewi  )",,28,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3836,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Kashima City","9 November ,2011",_____,,"Shotted halibut
(Eopsetta  grigorjewi  )",,31,Not detectable,,Japan Chemical Analysis Center,,,
3837,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",_____,,"Chestnut octopus
(Octopus conispadiceus)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3838,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachi City","8 November ,2011",_____,,"Chestnut octopus
(Octopus conispadiceus)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3839,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",_____,,"Chestnut octopus
(Octopus conispadiceus)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3840,Ibaraki,"15 November ,2011",Ibaraki,,"Offshore
Kashima City","9 November ,2011",________,,"Willowy flounder
(Tanakius  kitaharai)",,12,Not detectable,,Japan Chemical Analysis Center,,,
3841,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",___,,Whitebait,,36,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3842,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"10 November ,2011",____,,"Fat greenling
(Hexagrammos otakii)",,173,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3843,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",_____,,"Stone flounder
(Kareius bicoloratus)",,62,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3844,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"12 November ,2011",________,,"Brown hakeling
(Physiculus  maximowiczi)",,112,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3845,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"10 November ,2011",_____,,"Dory
(Zenopsis  nebulosa)",,38,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3846,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",_____,,"Redwing searobin
(Lepidotrigla microptera)",,33,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3847,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"12 November ,2011",__,,"Japanese gissu
(Pterothrissus gissu )",,35,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3848,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"13 November ,2011",____,,"Japanese black porgy
(Acanthopagrus schlegelii)",,172,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3849,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",____,,"Japanese black porgy
(Acanthopagrus schlegelii)",,92,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3850,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"13 November ,2011",____,,"Southern mackerel
(Scomber  australasicus)",,22,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3851,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",______,,"Ocellate spot skate
(Okamejei  kenojei )",,910,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3852,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",______,,"Ocellate spot skate
(Okamejei  kenojei )",,92,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3853,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",_____,,"Finepatterned puffer
(Takifugu  poecilonotus)",,55,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3854,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",________,,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3855,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",________,,"Chum salmon
(Oncorhynchus keta)
(ovary)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3856,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",___,,"Seabass
(Lateolabrax japonicus)",,77,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3857,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",___,,"Crimson sea bream
(Evynnis japonica)",,7.3,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3858,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"13 November ,2011",__,,"Nibe croaker
(Nibea mitsukurii)",,240,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3859,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",__,,"Nibe croaker
(Nibea mitsukurii)",,225,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3860,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"10 November ,2011",___,,"Olive flounder
(Paralichthys olivaceus)",,45,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3861,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"13 November ,2011",___,,"Olive flounder
(Paralichthys olivaceus)",,56,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3862,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"13 November ,2011",___,,"Olive flounder
(Paralichthys olivaceus)",,430,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3863,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",___,,"Olive flounder
(Paralichthys olivaceus)",,4500,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3864,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",___,,"Olive flounder
(Paralichthys olivaceus)",,35,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3865,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"13 November ,2011",__,,"Japanese amberjack
(Seriola quinqueraduata)",,13,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3866,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"10 November ,2011",____,,"Conger eel
(Conger myriaster)",,10,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3867,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"10 November ,2011",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,102,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3868,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"10 November ,2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,97,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3869,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,120,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3870,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"12 November ,2011",___,,"Pacific cod
(Gadus macrocephalus)",,68,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3871,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",_____,,"John Dory
(Zeus faber)",,77,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3872,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"10 November ,2011",_____,,"Rikuzen flounder
(Dexistes rikuzenius)",,24,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3873,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"10 November ,2011",_____,,"Shotted halibut
(Eopsetta  grigorjewi  )",,45,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3874,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"12 November ,2011",___,,"Pacific barrelfish
(Hyperoglyphe japonica)",,13,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3875,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"10 November ,2011",________,,"Willowy flounder
(Tanakius  kitaharai)",,37,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3876,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"14 November ,2011",_____,,Surf clam (Pseudocardium sachalinense),,190,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3877,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"10 November ,2011",___,,"Abalone
(Haliotis sp.)",,16,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3878,Fukushima,"16 November ,2011",Fukushima,,Iwaki City,"10 November ,2011",________,,"Northern sea urchin
(Strongylocentrotus nudus)",,210,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3879,Fukushima,"16 November ,2011",Fukushima,,Soma City,"11 November ,2011",____,,"Fat greenling
(Hexagrammos otakii)",,78,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3880,Fukushima,"16 November ,2011",Fukushima,,Futaba Town,"12 November ,2011",____,,"Fat greenling
(Hexagrammos otakii)",,58,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3881,Fukushima,"16 November ,2011",Fukushima,,Futaba Town,"12 November ,2011",____,,"Rosy seabass
(Doederleinia berycoides)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3882,Fukushima,"16 November ,2011",Fukushima,,Soma City,"10 November ,2011",_____,,"Stone flounder
(Kareius bicoloratus)",,136,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3883,Fukushima,"16 November ,2011",Fukushima,,Minami-soma City,"10 November ,2011",_____,,"Stone flounder
(Kareius bicoloratus)",,350,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3884,Fukushima,"16 November ,2011",Fukushima,,Shinchi Town,"11 November ,2011",_____,,"Stone flounder
(Kareius bicoloratus)",,179,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3885,Fukushima,"16 November ,2011",Fukushima,,Soma City,"11 November ,2011",_____,,"Stone flounder
(Kareius bicoloratus)",,104,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3886,Fukushima,"16 November ,2011",Fukushima,,Hirono Town,"14 November ,2011",_____,,"Stone flounder
(Kareius bicoloratus)",,870,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3887,Fukushima,"16 November ,2011",Fukushima,,Shinchi Town,"12 November ,2011",________,,"Brown hakeling
(Physiculus  maximowiczi)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3888,Fukushima,"16 November ,2011",Fukushima,,Soma City,"11 November ,2011",_____,,"Redwing searobin
(Lepidotrigla microptera)",,49,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3889,Fukushima,"16 November ,2011",Fukushima,,Hirono Town,"14 November ,2011",_____,,"Redwing searobin
(Lepidotrigla microptera)",,126,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3890,Fukushima,"16 November ,2011",Fukushima,,Hirono Town,"14 November ,2011",____,,"Threadsail filefish
(Stephanolepis cirrhifer)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3891,Fukushima,"16 November ,2011",Fukushima,,Shinchi Town,"12 November ,2011",_____,,"Monkfish
(Lophius litulon)",,8.9,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3892,Fukushima,"16 November ,2011",Fukushima,,Futaba Town,"12 November ,2011",_____,,"Monkfish
(Lophius litulon)",,50,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
3893,Fukushima,"16 November ,2011",Fukushima,,Shinchi Town,"11 November ,2011",____,,"Tanaka's snailfish
(Liparis tanakai)",,7.7,Not detectable,,"Fukushima Agricultural Technology
Centre",,,
